ID,Date,Country,Disease,Update,Month,Year,Cases,Deaths
1014,08/01/1997,Gabon,Ebola,Yes,1,1997,54,17
996,28/02/1997,Cook Islands,Dengue,No,2,1997,123,0
943,21/11/1997,Djibouti,Cholera,No,11,1997,355,29
971,06/06/1997,Malaysia,Myocarditis,No,6,1997,0,17
1010,17/01/1997,Guadeloupe,Measles,No,1,1997,12,0
1002,07/02/1997,Togo,Meningitis,Yes,2,1997,1235,0
962,31/07/1997,Congo,Monkeypox,No,7,1997,170,0
1005,27/01/1997,Togo,Meningitis,Yes,1,1997,739,121
978,06/05/1997,Tanzania,Cholera,No,5,1997,3000,0
995,02/03/1997,Gabon,Ebola,Yes,3,1997,60,42
1007,22/01/1997,Bolivia,Cholera,No,1,1997,492,0
947,31/10/1997,Ghana,Lassa fever,No,10,1997,0,0
998,28/02/1997,Spain,Meningococcal disease,No,2,1997,1383,0
950,28/10/1997,Kenya,Cholera,No,10,1997,2500,0
956,02/09/1997,Zimbabwe,Meningitis,No,9,1997,0,0
972,05/06/1997,Ghana,Anthrax,No,6,1997,185,0
946,14/11/1997,Congo,Monkeypox,Yes,11,1997,511,5
989,21/03/1997,Ghana,Meningitis,Yes,3,1997,10000,411
1008,21/01/1997,Gabon,Ebola,Yes,1,1997,60,0
940,26/11/1997,Mozambique,Cholera,Yes,11,1997,637,3
993,11/03/1997,Bolivia,Yellow fever,No,3,1997,30,10
979,06/05/1997,Burundi,,No,5,1997,24000,0
992,12/03/1997,Uganda,,No,3,1997,2,0
1013,09/01/1997,Burundi,Cholera,No,1,1997,153,0
1011,17/01/1997,Burundi,Cholera,Yes,1,1997,482,0
963,30/07/1997,Central African Republic,Cholera,No,7,1997,44,0
1009,20/01/1997,Rwanda,,No,1,1997,56,2
1012,16/01/1997,Gabon,Ebola,Yes,1,1997,59,44
1000,07/02/1997,Gabon,Ebola,Yes,2,1997,61,45
941,26/11/1997,Djibouti,Cholera,Yes,11,1997,827,0
973,04/06/1997,Somalia,Cholera,No,6,1997,5557,247
1015,08/01/1997,Gabon,Ebola,Yes,1,1997,58,0
957,02/09/1997,Mozambique,Cholera,No,9,1997,49,0
974,22/05/1997,Sierra Leone,Lassa fever,Yes,5,1997,470,7
960,08/08/1997,Mozambique,Plague,No,8,1997,216,0
944,19/11/1997,Mozambique,Cholera,Yes,11,1997,1664,0
983,15/04/1997,Somalia,Cholera,No,4,1997,1535,47
958,02/09/1997,Nepal,Encephalitis,No,9,1997,247,223
967,19/06/1997,Malaysia,Myocarditis,Yes,6,1997,26,8
951,27/10/1997,India,Leptospirosis,No,10,1997,281,0
961,31/07/1997,Malaysia,Dengue,No,7,1997,328,28
952,10/10/1997,Nepal,Encephalitis,Yes,10,1997,1364,0
994,06/03/1997,Ghana,Meningitis,No,3,1997,281,0
955,22/09/1997,Kenya,Cholera,No,9,1997,555,0
945,14/11/1997,Mozambique,Cholera,Yes,11,1997,41,0
1004,31/01/1997,Zambia,Plague,No,1,1997,90,0
942,21/11/1997,Mozambique,Plague,Yes,11,1997,335,0
966,26/06/1997,Malaysia,Myocarditis,Yes,6,1997,600,29
1006,24/01/1997,Togo,Meningitis,No,1,1997,522,0
991,21/03/1997,Congo,Monkeypox,No,3,1997,11,0
959,11/08/1997,Liberia,Yellow fever,No,8,1997,0,0
980,01/05/1997,Sierra Leone,Lassa fever,Yes,5,1997,799,0
1016,02/01/1997,Gabon,Ebola,Yes,1,1997,52,40
1001,07/02/1997,Zambia,Plague,No,2,1997,267,26
970,10/06/1997,Malaysia,Myocarditis,Yes,6,1997,0,21
949,28/10/1997,Mozambique,Cholera,Yes,10,1997,346,0
990,21/03/1997,Sierra Leone,Lassa fever,No,3,1997,239,23
948,30/10/1997,Malawi,Plague,No,10,1997,60,0
969,18/06/1997,Cuba,Dengue,No,6,1997,350000,3
976,09/05/1997,Somalia,Cholera,Yes,5,1997,4437,0
95,19/01/2012,Egypt,Avian,Yes,1,2012,159,55
67,07/06/2012,Egypt,Avian,Yes,6,2012,168,60
100,05/01/2012,Egypt,Avian,No,1,2012,157,55
68,05/06/2012,China,Avian,Yes,6,2012,22,0
85,28/02/2012,Egypt,Avian,Yes,2,2012,163,0
21,23/11/2012,Uganda,Ebola,No,11,2012,10,5
25,17/11/2012,Uganda,Ebola,No,11,2012,7,3
17,12/12/2012,Congo,Yellow fever,No,12,2012,0,0
73,05/04/2012,Cambodia,Avian,Yes,4,2012,20,18
101,05/01/2012,China,Avian,No,1,2012,41,27
96,18/01/2012,Cambodia,Avian,Yes,1,2012,0,17
39,27/09/2012,Congo,Ebola,Yes,9,2012,51,20
99,11/01/2012,Indonesia,Avian,No,1,2012,183,151
74,04/04/2012,Nigeria,Lassa fever,No,4,2012,623,70
45,12/09/2012,United States,Hantavirus pulmonary syndrome,Yes,9,2012,8,0
84,01/03/2012,Indonesia,Avian,Yes,3,2012,186,154
81,07/03/2012,Bangladesh,Avian,Yes,3,2012,2,0
19,30/11/2012,Uganda,Ebola,Yes,11,2012,10,4
41,23/09/2012,United Kingdom,Novel Coronavirus,No,9,2012,2,0
80,12/03/2012,Viet Nam,Avian,Yes,3,2012,123,61
36,04/10/2012,Uganda,Ebola,No,10,2012,24,17
61,23/07/2012,Congo,Cholera,No,7,2012,368,0
51,30/08/2012,Sierra Leone,Cholera,Yes,8,2012,13934,232
26,13/11/2012,Sudan,Yellow fever,No,11,2012,97,0
48,04/09/2012,United States,Hantavirus pulmonary syndrome,No,9,2012,6,2
64,06/07/2012,Indonesia,Avian,Yes,7,2012,190,0
56,14/08/2012,Uganda,Ebola,Yes,8,2012,43,16
52,22/08/2012,Sierra Leone,Cholera,No,8,2012,706,216
79,12/03/2012,Indonesia,Avian,Yes,3,2012,187,155
42,18/09/2012,Sierra Leone,Cholera,Yes,9,2012,18508,0
93,20/01/2012,Viet Nam,Avian,No,1,2012,120,60
58,10/08/2012,Uganda,Ebola,Yes,8,2012,23,16
31,21/10/2012,Uganda,Marburg haemorrhagic fever,No,10,2012,3,0
32,17/10/2012,Portugal,Dengue,No,10,2012,191,0
88,21/02/2012,Indonesia,Avian,Yes,2,2012,185,153
30,22/10/2012,Uganda,Marburg haemorrhagic fever,Yes,10,2012,9,5
82,05/03/2012,Viet Nam,Avian,Yes,3,2012,122,61
76,26/03/2012,Indonesia,Avian,Yes,3,2012,188,156
83,02/03/2012,Bangladesh,Avian,No,3,2012,2,0
65,06/07/2012,Cambodia,,Yes,7,2012,74,56
43,18/09/2012,Congo,Ebola,Yes,9,2012,46,19
91,03/02/2012,Ghana,Yellow fever,No,2,2012,3,2
62,13/07/2012,Cambodia,,No,7,2012,78,54
