,Disease,Transmission_Medium,Host_for_Parasite,Pathogens,Host_for_Parasite.1,Source,Vaccination,Maximum_Incubation,cfr,Cases,Death
3,Anthrax, spores in the air, dust,Bacteria,"livestock, soil, dust",zootonic,1,30,21.73913043,23,5
4,Avian,person to person cough sneeze aerosol,birds,Virus,birds,birds,0,5,inf,1000,450000
4,Avian, contaminated food,birds,Virus,birds,birds,0,5,inf,1000,450000
4,Avian, contaminated water,birds,Virus,birds,birds,0,5,inf,1000,450000
4,Avian, infected birds,birds,Virus,birds,birds,0,5,inf,1000,450000
4,Avian, infected bird droppings,birds,Virus,birds,birds,0,5,inf,1000,450000
4,Avian, infected bird meat,birds,Virus,birds,birds,0,5,inf,1000,450000
5,COVID-19,person to person blood bodily fluids,non confirmed,Virus,non confirmed,zootonic,0,14,33.33333333,69176,6820
5,COVID-19, person to person cough sneeze aerosol,non confirmed,Virus,non confirmed,zootonic,0,14,33.33333333,69176,6820
5,COVID-19,  mosquito bite,non confirmed,Virus,non confirmed,zootonic,0,14,33.33333333,69176,6820
5,COVID-19, person to person stools of infected person,non confirmed,Virus,non confirmed,zootonic,0,14,33.33333333,69176,6820
5,COVID-19, contaminated food,non confirmed,Virus,non confirmed,zootonic,0,14,33.33333333,69176,6820
5,COVID-19, contaminated water,non confirmed,Virus,non confirmed,zootonic,0,14,33.33333333,69176,6820
5,COVID-19, livestock animal blood body fluids,non confirmed,Virus,non confirmed,zootonic,0,14,33.33333333,69176,6820
6,Cholera,contaminated water,water,Bacteria,"water, stools, food",Human,0,5,inf,79613,3731
6,Cholera,contaminated water, stools,Bacteria,"water, stools, food",Human,0,5,inf,79613,3731
6,Cholera,contaminated water, food,Bacteria,"water, stools, food",Human,0,5,inf,79613,3731
6,Cholera, contaminated food,water,Bacteria,"water, stools, food",Human,0,5,inf,79613,3731
6,Cholera, contaminated food, stools,Bacteria,"water, stools, food",Human,0,5,inf,79613,3731
6,Cholera, contaminated food, food,Bacteria,"water, stools, food",Human,0,5,inf,79613,3731
6,Cholera, person to person stools of infected person,water,Bacteria,"water, stools, food",Human,0,5,inf,79613,3731
6,Cholera, person to person stools of infected person, stools,Bacteria,"water, stools, food",Human,0,5,inf,79613,3731
6,Cholera, person to person stools of infected person, food,Bacteria,"water, stools, food",Human,0,5,inf,79613,3731
7,Crimean-Congo haemorrhagic fever,person to person blood bodily fluids,ticks,Virus,"ticks, livestock",zootonic,0,6,100.0,242,20
7,Crimean-Congo haemorrhagic fever,person to person blood bodily fluids, livestock,Virus,"ticks, livestock",zootonic,0,6,100.0,242,20
7,Crimean-Congo haemorrhagic fever,person to person blood bodily fluids,ticks,Virus,"ticks, livestock", ticks,0,6,100.0,242,20
7,Crimean-Congo haemorrhagic fever,person to person blood bodily fluids, livestock,Virus,"ticks, livestock", ticks,0,6,100.0,242,20
7,Crimean-Congo haemorrhagic fever, tick bite,ticks,Virus,"ticks, livestock",zootonic,0,6,100.0,242,20
7,Crimean-Congo haemorrhagic fever, tick bite, livestock,Virus,"ticks, livestock",zootonic,0,6,100.0,242,20
7,Crimean-Congo haemorrhagic fever, tick bite,ticks,Virus,"ticks, livestock", ticks,0,6,100.0,242,20
7,Crimean-Congo haemorrhagic fever, tick bite, livestock,Virus,"ticks, livestock", ticks,0,6,100.0,242,20
7,Crimean-Congo haemorrhagic fever, infected livestock,ticks,Virus,"ticks, livestock",zootonic,0,6,100.0,242,20
7,Crimean-Congo haemorrhagic fever, infected livestock, livestock,Virus,"ticks, livestock",zootonic,0,6,100.0,242,20
7,Crimean-Congo haemorrhagic fever, infected livestock,ticks,Virus,"ticks, livestock", ticks,0,6,100.0,242,20
7,Crimean-Congo haemorrhagic fever, infected livestock, livestock,Virus,"ticks, livestock", ticks,0,6,100.0,242,20
7,Crimean-Congo haemorrhagic fever, livestock animal blood body fluids,ticks,Virus,"ticks, livestock",zootonic,0,6,100.0,242,20
7,Crimean-Congo haemorrhagic fever, livestock animal blood body fluids, livestock,Virus,"ticks, livestock",zootonic,0,6,100.0,242,20
7,Crimean-Congo haemorrhagic fever, livestock animal blood body fluids,ticks,Virus,"ticks, livestock", ticks,0,6,100.0,242,20
7,Crimean-Congo haemorrhagic fever, livestock animal blood body fluids, livestock,Virus,"ticks, livestock", ticks,0,6,100.0,242,20
7,Crimean-Congo haemorrhagic fever, contaminated animal products,ticks,Virus,"ticks, livestock",zootonic,0,6,100.0,242,20
7,Crimean-Congo haemorrhagic fever, contaminated animal products, livestock,Virus,"ticks, livestock",zootonic,0,6,100.0,242,20
7,Crimean-Congo haemorrhagic fever, contaminated animal products,ticks,Virus,"ticks, livestock", ticks,0,6,100.0,242,20
7,Crimean-Congo haemorrhagic fever, contaminated animal products, livestock,Virus,"ticks, livestock", ticks,0,6,100.0,242,20
8,Dengue,mosquito bite,mosquito,Virus,mosquito,mosquito,1,12,49.1862955,1000000,3075
9,Diphtheria,person to person cough sneeze aerosol,human,Bacteria,human,human,1,10,0.07486631,804,15
10,Ebola,person to person blood bodily fluids,fruit bats,Virus,fruit bats,zootonic,0,21,inf,3432,2253
10,Ebola, person to person cough sneeze aerosol,fruit bats,Virus,fruit bats,zootonic,0,21,inf,3432,2253
10,Ebola, person to person sexual contact,fruit bats,Virus,fruit bats,zootonic,0,21,inf,3432,2253
11,Elizabethkingia,contaminated water,river,Bacteria,"river, soil, water bodies",water bodies,0,39,0.315789474,57,18
11,Elizabethkingia,contaminated water, soil,Bacteria,"river, soil, water bodies",water bodies,0,39,0.315789474,57,18
11,Elizabethkingia,contaminated water, water bodies,Bacteria,"river, soil, water bodies",water bodies,0,39,0.315789474,57,18
12,Encephalitis,viral infection,various,Virus,various,various,1,12,90.28340081,772,223
13,Enterovirus,person to person blood bodily fluids,human,Virus,human,human,1,10,20.29520295,4496,55
13,Enterovirus, person to person stools of infected person,human,Virus,human,human,1,10,20.29520295,4496,55
14,Haemorrhagic fever syndrome,mosquito bite,mosquito,Virus,"mosquito, ticks, livestock",zootonic,0,6,0.255863539,469,120
14,Haemorrhagic fever syndrome,mosquito bite, ticks,Virus,"mosquito, ticks, livestock",zootonic,0,6,0.255863539,469,120
14,Haemorrhagic fever syndrome,mosquito bite, livestock,Virus,"mosquito, ticks, livestock",zootonic,0,6,0.255863539,469,120
14,Haemorrhagic fever syndrome, tick bite,mosquito,Virus,"mosquito, ticks, livestock",zootonic,0,6,0.255863539,469,120
14,Haemorrhagic fever syndrome, tick bite, ticks,Virus,"mosquito, ticks, livestock",zootonic,0,6,0.255863539,469,120
14,Haemorrhagic fever syndrome, tick bite, livestock,Virus,"mosquito, ticks, livestock",zootonic,0,6,0.255863539,469,120
15,Haemorrhagic fever with renal syndrome,rodent contamination,rodents,Virus,rodents,rodents,0,21,0.013623978,367,5
16,Hantavirus pulmonary syndrome,rodent contamination,rodents,Virus,rodents,rodents,0,21,25.0,8,2
17,Hepatitis,person to person stools of infected person,human,Virus,human,human,1,45,0.577200577,6861,8
17,Hepatitis, person to person blood bodily fluids,human,Virus,human,human,1,45,0.577200577,6861,8
18,Influenza,person to person blood bodily fluids,human,Virus,human,human,1,2,83.04455446,1000,671
18,Influenza, person to person cough sneeze aerosol,human,Virus,human,human,1,2,83.04455446,1000,671
19,Lassa fever,rodent contamination,rodents,Virus,rodents,rodents,0,21,56.73076923,1422,149
20,Legionellosis,contaminated water,river,Bacteria,"river, water bodies",water bodies,0,10,15.78947368,751,13
20,Legionellosis,contaminated water, water bodies,Bacteria,"river, water bodies",water bodies,0,10,15.78947368,751,13
20,Legionellosis, water bodies,river,Bacteria,"river, water bodies",water bodies,0,10,15.78947368,751,13
20,Legionellosis, water bodies, water bodies,Bacteria,"river, water bodies",water bodies,0,10,15.78947368,751,13
21,Listeriosis,contaminated food,raw meat,Bacteria,"raw meat, smoked fish",raw meats,0,30,0.078947368,38,3
21,Listeriosis,contaminated food, smoked fish,Bacteria,"raw meat, smoked fish",raw meats,0,30,0.078947368,38,3
22,MERS-CoV,camels to humans,camel,Virus,camel,zootonic,0,10,66.0,3000,862
23,Malaria,mosquito bite,mosquito,Parasite,mosquito,mosquito,1,15,0.453333333,75,34
24,Marburg haemorrhagic fever,person to person blood bodily fluids,bats,Virus,"bats, human",bats,0,21,inf,423,357
24,Marburg haemorrhagic fever,person to person blood bodily fluids, human,Virus,"bats, human",bats,0,21,inf,423,357
24,Marburg haemorrhagic fever, contact with surfaces contaminated by infected bats,bats,Virus,"bats, human",bats,0,21,inf,423,357
