Country,Disease,Year,outbreak_cluster
India,Meningococcal disease,2005,0
India,Nipah virus,2018,1
Indonesia,Avian,2005,40
Indonesia,Avian,2006,37
Indonesia,Avian,2007,30
Indonesia,Avian,2008,23
Indonesia,Avian,2009,17
Indonesia,Avian,2010,16
Indonesia,Avian,2011,10
Indonesia,Avian,2012,4
Indonesia,COVID-19,2020,0
Indonesia,Dengue,2004,0
Indonesia,Meningococcal disease,2000,0
Iran,COVID-19,2020,0
Iran,MERS-CoV,2015,0
Iraq,Avian,2006,1
Iraq,COVID-19,2020,0
Iraq,Cholera,2007,4
Iraq,Cholera,2008,2
Iraq,Cholera,2015,0
Ireland,COVID-19,2020,0
Ireland,Measles,2000,0
Israel,COVID-19,2020,0
Italy,COVID-19,2020,0
Jamaica,COVID-19,2020,0
Jamaica,Dengue,2019,0
Japan,COVID-19,2020,0
Japan,Encephalitis,1996,0
Jordan,MERS-CoV,2015,1
Kazakhstan,COVID-19,2020,0
Kenya,Cholera,2017,1
Kenya,Rift Valley fever,1998,4
Kenya,Rift Valley fever,2007,2
Kenya,Rift Valley fever,2018,0
Korea,MERS-CoV,2015,2
Korea,MERS-CoV,2018,0
Korea,Measles,2001,0
Kuwait,MERS-CoV,2015,0
Lebanon,COVID-19,2020,0
Lebanon,Measles,2019,0
Liberia,Cholera,2003,2
Liberia,Ebola,2014,0
Liberia,Lassa fever,2016,1
Liberia,Lassa fever,2018,0
Liberia,Yellow fever,1996,7
Liberia,Yellow fever,2000,5
Liberia,Yellow fever,2001,3
Liberia,Yellow fever,2004,2
Lithuania,COVID-19,2020,0
Luxembourg,COVID-19,2020,0
Madagascar,Influenza,2002,0
Madagascar,Measles,2019,0
Madagascar,Plague,2014,3
Madagascar,Plague,2015,2
Madagascar,Plague,2017,1
Malawi,Cholera,2002,1
Malaysia,COVID-19,2020,0
Malaysia,Dengue,1996,2
Malaysia,Dengue,1997,1
Malaysia,Dengue,1998,0
Malaysia,Encephalitis,1999,0
Malaysia,MERS-CoV,2018,0
Malaysia,Myocarditis,1997,0
Malaysia,SARS,2003,0
Mali,Cholera,2003,0
Mali,Yellow fever,2005,1
Mali,Yellow fever,2019,0
Martinique,COVID-19,2020,0
Mauritania,Rift Valley fever,1998,1
Mauritania,Rift Valley fever,2012,0
Mauritius,COVID-19,2020,0
Mexico,COVID-19,2020,0
Mexico,Cholera,2013,1
Mexico,Encephalitis,1996,0
Mexico,Influenza,2009,0
Moldova,COVID-19,2020,0
Mongolia,Cholera,1996,0
Montenegro,COVID-19,2020,0
Morocco,COVID-19,2020,0
Mozambique,Cholera,1997,8
Mozambique,Cholera,2018,0
Namibia,Hepatitis,2018,0
Namibia,Plague,1999,0
Namibia,Polio,2006,0
Nepal,Encephalitis,1997,1
Netherlands,Avian,2003,0
Netherlands,COVID-19,2020,0
Netherlands,Lassa fever,2019,0
Netherlands,Legionellosis,1999,0
Netherlands,Meningococcal disease,2000,0
Niger,Cholera,2018,0
Niger,Hepatitis,2017,0
Niger,Meningococcal disease,2003,3
Niger,Meningococcal disease,2015,1
Niger,Rift Valley fever,2016,0
Nigeria,Avian,2006,1
Nigeria,COVID-19,2020,0
Nigeria,Cholera,1996,5
Nigeria,Cholera,1999,3
Nigeria,Hepatitis,2017,0
Nigeria,Lassa fever,2012,5
Nigeria,Lassa fever,2016,4
Nigeria,Lassa fever,2017,2
Nigeria,Lassa fever,2018,1
Nigeria,Lassa fever,2019,0
Nigeria,Meningococcal disease,2015,1
Nigeria,Monkeypox,2017,1
Nigeria,Monkeypox,2018,0
Nigeria,Yellow fever,2019,2
North Macedonia,COVID-19,2020,0
Norway,COVID-19,2020,0
Norway,Legionellosis,2001,0
Oman,MERS-CoV,2015,7
Oman,MERS-CoV,2016,5
Oman,MERS-CoV,2018,1
Oman,MERS-CoV,2019,0
Others,COVID-19,2020,0
Pakistan,Avian,2007,1
Pakistan,Avian,2008,0
Pakistan,COVID-19,2020,0
Pakistan,Dengue,2019,0
Panama,COVID-19,2020,0
Paraguay,COVID-19,2020,0
Paraguay,Yellow fever,2008,0
Peru,COVID-19,2020,0
Peru,Yellow fever,2001,0
Philippines,COVID-19,2020,0
Philippines,Ebola,1996,1
Philippines,MERS-CoV,2015,0
Philippines,Meningococcal disease,2005,0
Philippines,SARS,2003,0
Poland,COVID-19,2020,0
