Country,Disease,Year,cfr,Cases,Death
Congo,Yellow fever,2010,18.18181818,11,2
Congo,Yellow fever,2014,5.1724137930000005,116,6
Congo,Yellow fever,2016,13.90728477,700,63
Congo (Kinshasa),COVID-19,2020,4.444444444,45,2
Costa Rica,COVID-19,2020,1.129943503,177,2
Croatia,COVID-19,2020,0.261780105,382,1
Cuba,COVID-19,2020,2.083333333,48,1
Cuba,Dengue,1997,0.000857143,350000,3
Cyprus,COVID-19,2020,2.419354839,124,3
Czech Republic,COVID-19,2020,0.215208034,1394,3
Denmark,COVID-19,2020,2.011313639,1591,32
Djibouti,Cholera,1997,3.5066505439999998,827,29
Dominican Republic,COVID-19,2020,1.9230769230000002,312,6
Ecuador,COVID-19,2020,2.495378928,1082,27
Egypt,Avian,2006,46.66666667,15,7
Egypt,Avian,2007,44.18604651,41,16
Egypt,Avian,2008,45.09803922,51,23
Egypt,Avian,2009,41.81818182,90,27
Egypt,Avian,2010,32.78688525,115,38
Egypt,Avian,2011,34.66666667,156,54
Egypt,Avian,2012,35.92814371,168,60
Egypt,COVID-19,2020,4.975124378,402,20
Ethiopia,Meningococcal disease,2000,3.3457249069999997,269,9
Ethiopia,Meningococcal disease,2001,4.092071611000001,391,16
Finland,COVID-19,2020,0.126262626,792,1
France,COVID-19,2020,4.931850788999999,22304,1100
France,Dengue,2019,0.181818182,7700,14
France,Legionellosis,1998,15.78947368,19,3
France,Legionellosis,2003,10.0,30,1
France,Meningococcal disease,2000,2.010050251,199,4
France,SARS,2003,14.28571429,7,1
Gabon,Acute haemorrhagic fever syndrome,2002,6.451612902999999,31,2
Gabon,COVID-19,2020,16.66666667,6,1
Gabon,Ebola,1996,66.66666667,201,42
Gabon,Ebola,1997,22.3880597,61,45
Gabon,Ebola,2001,81.66666667,27,18
Gabon,Ebola,2002,81.66666667,60,49
Gabon,Viral haemorrhagic fever,2001,inf,0,7
Gambia,COVID-19,2020,33.33333333,3,1
Germany,Avian,2006,inf,0,3
Germany,COVID-19,2020,0.475959498,32986,157
Germany,MERS-CoV,2015,0.367915466,1041,383
Ghana,COVID-19,2020,3.7735849060000004,53,2
Ghana,Yellow fever,2012,66.66666667,3,2
Greece,COVID-19,2020,2.69179004,743,20
Guatemala,COVID-19,2020,4.7619047619999995,21,1
Guinea,Cholera,2008,0.8012048190000001,166,133
Guinea,Ebola,2014,67.96116505,103,70
Guinea,Meningococcal disease,1999,3.87275242,2169,84
Guinea,Yellow fever,2000,37.109375,512,190
Guinea,Yellow fever,2001,11.11111111,18,2
Guinea,Yellow fever,2008,7.142857143,14,1
Guinea,Yellow fever,2009,14.28571429,21,3
Guyana,COVID-19,2020,5.0,20,1
Haiti,Cholera,2010,53.34190231,778,415
Hong Kong,Avian,2004,0.736842105,19,14
Hong Kong,COVID-19,2020,1.03626943,386,4
Hong Kong,Influenza,1998,33.33333333,18,6
"Hong Kong SAR, China",SARS,2003,16.98005698,1755,298
Hungary,COVID-19,2020,4.812834225,187,9
Iceland,COVID-19,2020,0.771604938,648,5
India,COVID-19,2020,1.865671642,536,10
India,Dengue,1996,38.06451613,930,354
