Disease,Country,Year,cfr,Cases,Death
Dengue,Sudan,2019,0.417710944,1197,5
Diphtheria,Afghanistan,2003,0.040540541,74,3
Diphtheria,Bangladesh,2017,0.018656716,804,15
Diphtheria,Thailand,1996,0.055555556,72,4
Diphtheria,Yemen,2017,0.07486631,187,14
Ebola,Congo,2001,83.33333333,29,20
Ebola,Congo,2002,89.51048951,60,50
Ebola,Congo,2003,89.51048951,143,128
Ebola,Congo,2004,61.70212766,35,25
Ebola,Congo,2005,91.66666667,12,11
Ebola,Congo,2008,46.875,9,0
Ebola,Congo,2009,46.875,32,15
Ebola,Congo,2012,48.07692308,52,25
Ebola,Congo,2014,43.75,80,35
Ebola,Congo,2017,10.0,90,9
Ebola,Congo,2018,65.64685315,706,357
Ebola,Congo,2019,65.64685315,3351,2217
Ebola,Congo,2020,65.64685315,3432,2253
Ebola,Gabon,1996,66.66666667,201,42
Ebola,Gabon,1997,22.3880597,61,45
Ebola,Gabon,2001,81.66666667,27,18
Ebola,Gabon,2002,81.66666667,60,49
Ebola,Guinea,2014,67.96116505,103,70
Ebola,Liberia,2014,100.0,2,2
Ebola,Philippines,1996,inf,0,2
Ebola,South Africa,1996,0.571428571,350,2
Ebola,Sudan,2004,23.33333333,30,7
Ebola,Uganda,2000,11.0,426,165
Ebola,Uganda,2001,11.0,1500,0
Ebola,Uganda,2007,17.20430108,93,16
Ebola,Uganda,2012,39.53488372,43,17
Elizabethkingia,United States,2016,0.31578947399999996,57,18
Encephalitis,Japan,1996,0.163212435,772,126
Encephalitis,Malaysia,1999,34.39490446,157,54
Encephalitis,Mexico,1996,5.0,2,10
Encephalitis,Nepal,1997,90.28340081,247,223
Encephalitis,United States,1999,6.25,80,5
Enterovirus,China,1998,20.29520295,271,55
Enterovirus,China,2008,0.489323843,4496,22
Haemorrhagic fever syndrome,Sudan,2016,0.255863539,469,120
Haemorrhagic fever with renal syndrome,Bosnia and Herzegovina,1996,0.013623978,367,5
Hantavirus pulmonary syndrome,United States,2012,25.0,8,2
Hepatitis,Chad,2017,0.577200577,693,4
Hepatitis,Namibia,2018,0.016877637,237,4
Hepatitis,Niger,2017,0.0053191490000000004,188,1
Hepatitis,Nigeria,2017,0.068965517,29,2
Hepatitis,Sudan,2004,0.11660107900000001,6861,8
Influenza,China,2003,50.0,18,1
Influenza,China,2013,1.4,1000,14
Influenza,Hong Kong,1998,33.33333333,18,6
Influenza,Madagascar,2002,83.04455446,808,671
Influenza,Mexico,2009,0.069086651,854,59
Lassa fever,Benin,2016,51.85185185,71,28
Lassa fever,Liberia,2016,23.68421053,38,9
Lassa fever,Liberia,2018,50.0,30,15
Lassa fever,Netherlands,2019,7.692307692000001,182,14
Lassa fever,Nigeria,2012,11.23595506,623,70
Lassa fever,Nigeria,2016,54.57875458,273,149
Lassa fever,Nigeria,2017,56.73076923,104,59
Lassa fever,Nigeria,2018,8.016877637,1422,114
Lassa fever,Nigeria,2019,22.01834862,327,72
Lassa fever,Sierra Leone,1996,5.691056911,246,14
Lassa fever,Sierra Leone,1997,2.8785982480000003,799,23
Legionellosis,France,1998,15.78947368,19,3
Legionellosis,France,2003,10.0,30,1
Legionellosis,Netherlands,1999,0.065,200,13
Legionellosis,Norway,2001,0.10526315800000001,19,2
Legionellosis,Spain,2001,0.266311585,751,2
Listeriosis,Spain,2019,0.078947368,38,3
MERS-CoV,Bahrain,2016,0.36173913,1725,624
MERS-CoV,China,2015,0.37543554,1148,431
MERS-CoV,Germany,2015,0.367915466,1041,383
MERS-CoV,Iran,2015,0.379496403,1112,422
MERS-CoV,Jordan,2015,36.82539683,1594,568
MERS-CoV,Korea,2015,35.8974359,3000,574
MERS-CoV,Korea,2018,35.48243664,2249,798
MERS-CoV,Kuwait,2015,0.353503185,1570,555
MERS-CoV,Malaysia,2018,10.57142857,70,740
MERS-CoV,Oman,2015,37.57575758,1155,434
MERS-CoV,Oman,2016,36.03936039,1842,652
MERS-CoV,Oman,2018,34.98134328,2144,750
MERS-CoV,Oman,2019,34.78998727,2357,820
MERS-CoV,Philippines,2015,35.5994152,1368,487
MERS-CoV,Qatar,2014,36.04519774,885,319
MERS-CoV,Qatar,2015,37.16981132,1150,427
MERS-CoV,Qatar,2016,36.09022556,1769,630
MERS-CoV,Saudi Arabia,2014,36.02714374,941,347
MERS-CoV,Saudi Arabia,2015,36.02714374,1621,584
MERS-CoV,Saudi Arabia,2016,36.23773803,1806,643
MERS-CoV,Saudi Arabia,2017,34.72823473,2079,722
MERS-CoV,Saudi Arabia,2018,66.0,2262,806
MERS-CoV,Saudi Arabia,2019,66.0,2484,857
MERS-CoV,Thailand,2015,35.74561404,1368,489
MERS-CoV,Thailand,2016,35.94611145,1633,587
MERS-CoV,Turkey,2014,0.36126840299999996,883,319
MERS-CoV,United Arab Emirates,2015,36.74513818,1350,480
MERS-CoV,United Arab Emirates,2016,35.96813725,1762,629
MERS-CoV,United Arab Emirates,2018,35.65926597,2207,787
MERS-CoV,United Arab Emirates,2019,34.453441299999994,2470,851
MERS-CoV,United Arab Emirates,2020,34.39744613,2506,862
Malaria,Burundi,1999,0.45333333299999995,75,34
Marburg haemorrhagic fever,Angola,2005,inf,423,357
Marburg haemorrhagic fever,Uganda,2012,50.0,18,9
Measles,Brazil,2018,0.00201005,995,2
Measles,Ireland,2000,0.0053191490000000004,376,2
Measles,Korea,2001,0.072090213,7449,537
Measles,Lebanon,2019,0.000853971,1171,1
Measles,Madagascar,2019,0.609375,64,39
Measles,Tunisia,2019,0.003649635,274,1
Meningococcal disease,Angola,2001,3.626943005,193,7
Meningococcal disease,Burkina Faso,2002,76.14991482,587,447
Meningococcal disease,Burkina Faso,2003,55.30612245,980,542
Meningococcal disease,Central African Republic,2004,0.11627907,43,5
Meningococcal disease,Congo,2001,8.465608466,378,32
Meningococcal disease,Congo,2002,11.64613662,893,104
Meningococcal disease,Ethiopia,2000,3.3457249069999997,269,9
Meningococcal disease,Ethiopia,2001,4.092071611000001,391,16
Meningococcal disease,France,2000,2.010050251,199,4
Meningococcal disease,Guinea,1999,3.87275242,2169,84
Meningococcal disease,India,2005,0.603293657,6133,37
Meningococcal disease,Indonesia,2000,0.222222222,27,6
Meningococcal disease,Netherlands,2000,0.253333333,225,57
Meningococcal disease,Niger,2003,9.484435798,2056,195
Meningococcal disease,Niger,2015,10.0,200000,20000
Meningococcal disease,Nigeria,2015,7.668711656,652,50
Meningococcal disease,Philippines,2005,32.65306122,98,32
Meningococcal disease,Sudan,1999,0.1,1000000,1000
Meningococcal disease,Sudan,2000,35.88342441,549,197
Meningococcal disease,Togo,2017,0.377952756,127,48
Meningococcal disease,Uganda,2006,7.364341085,258,19
Microcephaly,Brazil,2015,1.1972274729999999,1761,19
Microcephaly,Brazil,2016,1.1972274729999999,3174,38
Monkeypox,Congo,1997,0.9784735809999999,511,5
Monkeypox,Nigeria,2017,1.6393442619999998,61,1
Monkeypox,Nigeria,2018,8.860759494,79,7
Myocarditis,Malaysia,1997,23.00884956,113,26
Nipah virus,Bangladesh,2004,0.6,30,18
Nipah virus,India,2018,42.5,753,17
Plague,Algeria,2003,10.0,10,1
Plague,Congo,2005,0.8714285709999999,7000,61
Plague,Congo,2006,1.9,1000,19
Plague,Madagascar,2014,33.61344538,119,40
Plague,Madagascar,2015,2.985074627,335,10
Plague,Madagascar,2017,41.93548387,1791,202
Plague,Namibia,1999,0.205128205,39,8
Plague,Uganda,1998,0.079411765,340,27
Plague,Zambia,1997,9.737827715,267,26
Plague,Zambia,2001,2.52293578,436,11
Polio,Albania,1996,0.106060606,66,7
Polio,Angola,1999,6.202723147,661,41
Polio,Namibia,2006,0.666666667,30,20
Polio,Tajikistan,2010,4.418604651,90000,19
Rift Valley fever,Kenya,1998,100.0,300,300
Rift Valley fever,Kenya,2007,29.44038929,411,121
Rift Valley fever,Kenya,2018,26.92307692,26,7
Rift Valley fever,Mauritania,1998,1.5,400,6
Rift Valley fever,Mauritania,2012,50.0,34,17
Rift Valley fever,Niger,2016,12.03007519,266,32
Rift Valley fever,Saudi Arabia,2000,17.15575621,443,76
Rift Valley fever,South Africa,1999,33.33333333,3,1
Rift Valley fever,South Africa,2010,9.677419355,20000,18
Rift Valley fever,Sudan,2007,36.9266055,601,211
Rift Valley fever,Sudan,2008,31.80515759,698,222
Rift Valley fever,Sudan,2019,30.78982597,747,230
Rift Valley fever,Tanzania,2007,0.233333333,60,14
Rift Valley fever,Yemen,2000,12.25114855,653,80
SARS,Canada,2003,15.07936508,252,38
SARS,China,2003,6.530305874,5329,348
SARS,China,2004,9.675,8000,774
SARS,France,2003,14.28571429,7,1
SARS,"Hong Kong SAR, China",2003,16.98005698,1755,298
SARS,Malaysia,2003,25.0,8,2
SARS,Philippines,2003,14.28571429,14,2
SARS,Singapore,2003,15.53398058,206,32
SARS,South Africa,2003,100.0,1,1
SARS,Taiwan,2003,8.940518185,8221,735
SARS,"Taiwan, China",2003,12.03438395,698,84
SARS,Thailand,2003,22.22222222,9,2
SARS,Viet Nam,2003,7.936507937000001,63,5
Seoul virus,Canada,2017,0.181818182,11,2
Typhoid fever,Algeria,1996,0.001098901,910,1
Typhoid fever,Congo,2004,19.25287356,615,134
Typhoid fever,Congo,2005,19.25287356,696,0
Viral haemorrhagic fever,Congo,1999,67.74193548,93,63
Viral haemorrhagic fever,Congo,2000,85.71428571,7,6
Viral haemorrhagic fever,Gabon,2001,inf,0,7
West Nile,Canada,2002,2.3809523809999997,84,2
West Nile,United States,2002,21.91069574,963,211
Yellow fever,Angola,2016,33.84615385,130000,44000
Yellow fever,Benin,1996,47.674418599999996,86,41
Yellow fever,Bolivia,1997,33.33333333,30,10
Yellow fever,Brazil,2001,12.5,48,6
Yellow fever,Brazil,2017,20.79207921,1336,215
Yellow fever,Brazil,2018,32.78008299,723,237
Yellow fever,Brazil,2019,35.10174419,1376,483
Yellow fever,Cameroon,2012,30.43478261,23,7
Yellow fever,Central African Republic,2009,3.75,80,3
Yellow fever,Congo,2010,18.18181818,11,2
Yellow fever,Congo,2014,5.1724137930000005,116,6
Yellow fever,Congo,2016,13.90728477,700,63
Yellow fever,Ghana,2012,66.66666667,3,2
Yellow fever,Guinea,2000,37.109375,512,190
Yellow fever,Guinea,2001,11.11111111,18,2
Yellow fever,Guinea,2008,7.142857143,14,1
Yellow fever,Guinea,2009,14.28571429,21,3
Yellow fever,Liberia,1996,2.506963788,359,9
Yellow fever,Liberia,2000,10.34482759,29,3
Yellow fever,Liberia,2001,100.0,3,3
Yellow fever,Liberia,2004,20.51282051,39,8
Yellow fever,Mali,2005,8.695652174,23,2
Yellow fever,Mali,2019,4.47761194,67,3
Yellow fever,Nigeria,2019,21.31147541,407708,26
Yellow fever,Paraguay,2008,27.27272727,22,6
Yellow fever,Peru,2001,0.166666667,12,2
Yellow fever,Senegal,2005,inf,0,2
Yellow fever,Senegal,2011,100.0,10,10
Yellow fever,Sierra Leone,2003,11.11111111,90,10
Yellow fever,Sudan,2005,25.30973451,565,143
Yellow fever,Sudan,2012,22.54098361,732,165
Yellow fever,Uganda,2016,23.33333333,30,7
Yellow fever,Venezuela,2004,50.0,2,1
