Year,Country,Disease,cfr,Cases,Death
2003,Sierra Leone,Yellow fever,11.11111111,90,10
2003,Singapore,SARS,15.53398058,206,32
2003,South Africa,Cholera,0.127011008,2362,3
2003,South Africa,SARS,100.0,1,1
2003,Taiwan,SARS,8.940518185,8221,735
2003,"Taiwan, China",SARS,12.03438395,698,84
2003,Thailand,SARS,22.22222222,9,2
2003,Viet Nam,SARS,7.936507937000001,63,5
2004,Bangladesh,Nipah virus,0.6,30,18
2004,Canada,Avian,3.333333333,30,1
2004,Central African Republic,Meningococcal disease,0.11627907,43,5
2004,China,Avian,66.66666667,21,14
2004,China,SARS,9.675,8000,774
2004,Congo,Ebola,61.70212766,35,25
2004,Congo,Typhoid fever,19.25287356,615,134
2004,Hong Kong,Avian,0.736842105,19,14
2004,Indonesia,Dengue,0.0658,1000000,658
2004,Liberia,Yellow fever,20.51282051,39,8
2004,Sudan,Ebola,23.33333333,30,7
2004,Sudan,Hepatitis,0.11660107900000001,6861,8
2004,Thailand,Avian,70.58823529,22,12
2004,Venezuela,Yellow fever,50.0,2,1
2004,Viet Nam,Avian,71.11111111,45,32
2005,Angola,Acute haemorrhagic fever syndrome,inf,0,39
2005,Angola,Marburg haemorrhagic fever,inf,423,357
2005,Cambodia,Avian,0.14,12,2
2005,China,Avian,17.5,80,14
2005,Congo,Ebola,91.66666667,12,11
2005,Congo,Plague,0.8714285709999999,7000,61
2005,Congo,Typhoid fever,19.25287356,696,0
2005,India,Meningococcal disease,0.603293657,6133,37
2005,Indonesia,Avian,68.75,300,13
2005,Mali,Yellow fever,8.695652174,23,2
2005,Philippines,Meningococcal disease,32.65306122,98,32
2005,Senegal,Cholera,0.460431655,3475,16
2005,Senegal,Yellow fever,inf,0,2
2005,Sudan,Yellow fever,25.30973451,565,143
2005,Thailand,Avian,61.9047619,21,13
2005,Viet Nam,Avian,71.11111111,69,46
2006,Angola,Cholera,6.183849471,30612,1893
2006,Azerbaijan,Avian,83.33333333,8,5
2006,China,Avian,68.75,21,14
2006,Congo,Crimean-Congo haemorrhagic fever,8.26446281,242,20
2006,Congo,Plague,1.9,1000,19
2006,Egypt,Avian,46.66666667,15,7
2006,Germany,Avian,inf,0,3
2006,Indonesia,Avian,77.77777778,74,57
2006,Iraq,Avian,inf,0,2
2006,Namibia,Polio,0.666666667,30,20
2006,Nigeria,Avian,inf,0,450000
2006,Sudan,Cholera,3.820645905,13872,530
2006,Thailand,Avian,68.0,25,17
2006,Turkey,Avian,2.777777778,144,4
2006,Uganda,Meningococcal disease,7.364341085,258,19
2007,China,Avian,64.0,27,17
2007,Egypt,Avian,44.18604651,41,16
2007,Indonesia,Avian,81.03448276,116,94
2007,Iraq,Cholera,0.52,6749,14
2007,Kenya,Rift Valley fever,29.44038929,411,121
2007,Pakistan,Avian,12.5,8,1
2007,Sudan,Rift Valley fever,36.9266055,601,211
2007,Tanzania,Rift Valley fever,0.233333333,60,14
2007,Uganda,Ebola,17.20430108,93,16
2007,Viet Nam,Avian,80.0,101,47
2008,Brazil,Dengue,11.75438596,570,67
2008,Cambodia,Avian,87.5,8,7
2008,China,Avian,66.66666667,30,20
2008,China,Enterovirus,0.489323843,4496,22
2008,Congo,Ebola,46.875,9,0
2008,Egypt,Avian,45.09803922,51,23
2008,Guinea,Cholera,0.8012048190000001,166,133
2008,Guinea,Yellow fever,7.142857143,14,1
2008,Indonesia,Avian,81.75182482,139,113
2008,Iraq,Cholera,1.46627566,341,5
2008,Pakistan,Avian,14.28571429,7,1
2008,Paraguay,Yellow fever,27.27272727,22,6
2008,Sudan,Rift Valley fever,31.80515759,698,222
2008,Viet Nam,Avian,49.05660377,106,52
2008,Zimbabwe,Cholera,5.728950447000001,26497,1518
2009,Cambodia,Avian,77.78,9,7
2009,Central African Republic,Yellow fever,3.75,80,3
2009,China,Avian,65.78947368,38,25
2009,Congo,Ebola,46.875,32,15
2009,Egypt,Avian,41.81818182,90,27
2009,Guinea,Yellow fever,14.28571429,21,3
2009,Indonesia,Avian,81.56028369,141,115
2009,Mexico,Influenza,0.069086651,854,59
2009,Viet Nam,Avian,50.89285714,112,57
2009,Zimbabwe,Cholera,65.09433962,79613,3731
2010,Cambodia,Avian,80.0,10,8
2010,China,Avian,66.66666667,39,26
2010,Congo,Crimean-Congo haemorrhagic fever,11.53846154,26,3
2010,Congo,Yellow fever,18.18181818,11,2
2010,Egypt,Avian,32.78688525,115,38
2010,Haiti,Cholera,53.34190231,778,415
2010,Indonesia,Avian,82.94117647,171,141
2010,South Africa,Rift Valley fever,9.677419355,20000,18
2010,Tajikistan,Polio,4.418604651,90000,19
2010,Viet Nam,Avian,50.42735043,119,59
2011,Cambodia,Avian,84.62,53,11
2011,Congo,Cholera,29.57589286,896,265
2011,Egypt,Avian,34.66666667,156,54
2011,Indonesia,Avian,82.48587571,182,150
2011,Senegal,Yellow fever,100.0,10,10
2012,Cambodia,Avian,90.0,20,18
2012,Cameroon,Yellow fever,30.43478261,23,7
2012,China,Avian,65.85365854,41,27
2012,Congo,Ebola,48.07692308,52,25
2012,Egypt,Avian,35.92814371,168,60
2012,Ghana,Yellow fever,66.66666667,3,2
2012,Indonesia,Avian,83.06878307,189,157
2012,Mauritania,Rift Valley fever,50.0,34,17
2012,Nigeria,Lassa fever,11.23595506,623,70
2012,Sierra Leone,Cholera,38.04347826,18508,280
2012,Sudan,Yellow fever,22.54098361,732,165
2012,Uganda,Ebola,39.53488372,43,17
2012,Uganda,Marburg haemorrhagic fever,50.0,18,9
2012,United States,Hantavirus pulmonary syndrome,25.0,8,2
2012,Viet Nam,Avian,49.59349593,123,61
2013,Cambodia,Avian,80.0,5,4
2013,China,Avian,2.2,1000,22
2013,China,Influenza,1.4,1000,14
2013,Mexico,Cholera,0.568181818,184,1
2014,China,Avian,50.0,11,5
2014,Congo,Ebola,43.75,80,35
2014,Congo,Yellow fever,5.1724137930000005,116,6
2014,Guinea,Ebola,67.96116505,103,70
2014,Liberia,Ebola,100.0,2,2
2014,Madagascar,Plague,33.61344538,119,40
2014,Qatar,MERS-CoV,36.04519774,885,319
2014,Saudi Arabia,MERS-CoV,36.02714374,941,347
2014,Sudan,Cholera,3.754266212,586,22
2014,Turkey,MERS-CoV,0.36126840299999996,883,319
2015,Brazil,Microcephaly,1.1972274729999999,1761,19
2015,Canada,Avian,3.333333333,1,1
2015,China,Avian,60.0,83,19
2015,China,MERS-CoV,0.37543554,1148,431
2015,Germany,MERS-CoV,0.367915466,1041,383
2015,Iran,MERS-CoV,0.379496403,1112,422
2015,Iraq,Cholera,0.212765957,940,2
2015,Jordan,MERS-CoV,36.82539683,1594,568
2015,Korea,MERS-CoV,35.8974359,3000,574
2015,Kuwait,MERS-CoV,0.353503185,1570,555
2015,Madagascar,Plague,2.985074627,335,10
2015,Niger,Meningococcal disease,10.0,200000,20000
2015,Nigeria,Meningococcal disease,7.668711656,652,50
2015,Oman,MERS-CoV,37.57575758,1155,434
2015,Philippines,MERS-CoV,35.5994152,1368,487
2015,Qatar,MERS-CoV,37.16981132,1150,427
2015,Saudi Arabia,MERS-CoV,36.02714374,1621,584
2015,Tanzania,Cholera,1.4064115819999998,40000,150
2015,Thailand,MERS-CoV,35.74561404,1368,489
2015,United Arab Emirates,MERS-CoV,36.74513818,1350,480
2016,Angola,Yellow fever,33.84615385,130000,44000
2016,Bahrain,MERS-CoV,0.36173913,1725,624
2016,Benin,Lassa fever,51.85185185,71,28
2016,Brazil,Microcephaly,1.1972274729999999,3174,38
2016,China,Avian,57.14285714,806,11
2016,Congo,Yellow fever,13.90728477,700,63
2016,Liberia,Lassa fever,23.68421053,38,9
2016,Niger,Rift Valley fever,12.03007519,266,32
2016,Nigeria,Lassa fever,54.57875458,273,149
2016,Oman,MERS-CoV,36.03936039,1842,652
2016,Qatar,MERS-CoV,36.09022556,1769,630
2016,Saudi Arabia,MERS-CoV,36.23773803,1806,643
2016,Sudan,Haemorrhagic fever syndrome,0.255863539,469,120
2016,Thailand,MERS-CoV,35.94611145,1633,587
2016,Uganda,Yellow fever,23.33333333,30,7
2016,United Arab Emirates,MERS-CoV,35.96813725,1762,629
2016,United States,Elizabethkingia,0.31578947399999996,57,18
