Year,Country,Disease,cfr,Cases,Death
2018,India,Nipah virus,42.5,753,17
2018,Korea,MERS-CoV,35.48243664,2249,798
2018,Liberia,Lassa fever,50,30,15
2018,Somalia,Cholera,71.85368878,1613,1159
2019,Afghanistan,Dengue,7.142857143,14,1
2019,Brazil,Yellow fever,35.10174419,1376,483
2019,Congo,Ebola,65.64685315,3351,2217
2019,Jamaica,Dengue,49.1862955,4670,2297
2019,Nigeria,Lassa fever,22.01834862,327,72
2019,Nigeria,Yellow fever,21.31147541,407708,26
2019,Pakistan,Dengue,6.525891341,47120,3075
2019,Sudan,Rift Valley fever,30.78982597,747,230
